"ecosystem","component","version","usage","complete","without_informix","license","evidence","source","decision","note"
"NuGet","IKVM.Image.runtime.win-x64","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.Image.runtime.win-x64/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.Image.runtime.win-x64/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.Image.runtime.win-x86","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.Image.runtime.win-x86/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.Image.runtime.win-x86/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.Image","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.Image/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.Image/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.Maven.Sdk","1.9.3","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","MIT","NuGet:IKVM.Maven.Sdk/1.9.3/LICENSE.md","https://www.nuget.org/packages/IKVM.Maven.Sdk/1.9.3","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.MSBuild.Tools.runtime.linux-arm","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.MSBuild.Tools.runtime.linux-arm/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.MSBuild.Tools.runtime.linux-arm/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.MSBuild.Tools.runtime.linux-arm64","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.MSBuild.Tools.runtime.linux-arm64/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.MSBuild.Tools.runtime.linux-arm64/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.MSBuild.Tools.runtime.linux-x64","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.MSBuild.Tools.runtime.linux-x64/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.MSBuild.Tools.runtime.linux-x64/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.MSBuild.Tools.runtime.osx-arm64","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.MSBuild.Tools.runtime.osx-arm64/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.MSBuild.Tools.runtime.osx-arm64/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.MSBuild.Tools.runtime.osx-x64","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.MSBuild.Tools.runtime.osx-x64/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.MSBuild.Tools.runtime.osx-x64/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.MSBuild.Tools.runtime.win-arm64","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.MSBuild.Tools.runtime.win-arm64/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.MSBuild.Tools.runtime.win-arm64/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.MSBuild.Tools.runtime.win-x64","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.MSBuild.Tools.runtime.win-x64/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.MSBuild.Tools.runtime.win-x64/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.MSBuild.Tools","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.MSBuild.Tools/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.MSBuild.Tools/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM.MSBuild","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM.MSBuild/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM.MSBuild/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","IKVM","8.11.2","backend/src/Druse.Host.LocalApi;backend/src/Druse.Jdbc;backend/src/Druse.Provider.Informix;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","excluido del grafo inferido","IKVM: Zlib y GPL-2.0 con Classpath exception, segun archivo","NuGet:IKVM/8.11.2/LICENSE.md","https://www.nuget.org/packages/IKVM/8.11.2","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","Microsoft.AspNetCore.App.Runtime.win-x64","10.0.12","runtime pack de restauracion","build/test/runtime pack","sin inferir","MIT","NuGet:Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12/microsoft.aspnetcore.app.runtime.win-x64.nuspec","https://www.nuget.org/packages/Microsoft.AspNetCore.App.Runtime.win-x64/10.0.12","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","Microsoft.AspNetCore.Mvc.Testing","10.0.11","backend/tests/Druse.IntegrationTests","build/test/runtime pack","sin inferir","MIT","NuGet:Microsoft.AspNetCore.Mvc.Testing/10.0.11/microsoft.aspnetcore.mvc.testing.nuspec","https://www.nuget.org/packages/Microsoft.AspNetCore.Mvc.Testing/10.0.11","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","Microsoft.AspNetCore.OpenApi","10.0.10","backend/src/Druse.Host.LocalApi;backend/tests/Druse.IntegrationTests","grafo host","grafo host inferido","MIT","NuGet:Microsoft.AspNetCore.OpenApi/10.0.10/microsoft.aspnetcore.openapi.nuspec","https://www.nuget.org/packages/Microsoft.AspNetCore.OpenApi/10.0.10","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","Microsoft.AspNetCore.TestHost","10.0.11","backend/tests/Druse.IntegrationTests","build/test/runtime pack","sin inferir","MIT","NuGet:Microsoft.AspNetCore.TestHost/10.0.11/microsoft.aspnetcore.testhost.nuspec","https://www.nuget.org/packages/Microsoft.AspNetCore.TestHost/10.0.11","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
"NuGet","Microsoft.Bcl.Cryptography","9.0.13","backend/src/Druse.Host.LocalApi;backend/src/Druse.Provider.SqlServer;backend/tests/Druse.IntegrationTests;backend/tests/Druse.ProviderContractTests;backend/tests/Druse.UnitTests","grafo host","grafo host inferido","MIT","NuGet:Microsoft.Bcl.Cryptography/9.0.13/microsoft.bcl.cryptography.nuspec","https://www.nuget.org/packages/Microsoft.Bcl.Cryptography/9.0.13","PENDIENTE REVISION","Inferencia desde assets restaurados: confirmar con publicacion limpia y archivos del paquete."
